"name";"region";"epidCode";"externalID";"population";"growthRate"
"LK Coburg";"Bayern";"NEC";"11009473";"";"0.0"
"LK Dachau";"Bayern";"DAH";"11009174";"";"0.0"
"LK Deggendorf";"Bayern";"DEG";"11009271";"";"0.0"
"LK Dillingen a.d.Donau";"Bayern";"DLG";"11009773";"";"0.0"
"LK Dingolfing-Landau";"Bayern";"LAN";"11009279";"";"0.0"
"LK Donau-Ries";"Bayern";"DON";"11009779";"";"0.0"
"LK Ebersberg";"Bayern";"EBE";"11009175";"";"0.0"
"LK Eichstätt";"Bayern";"EIH";"11009176";"";"0.0"
"LK Erding";"Bayern";"ED";"11009177";"";"0.0"
"LK Erlangen-Höchstadt";"Bayern";"ERL";"11009572";"";"0.0"
"LK Forchheim";"Bayern";"FO";"11009474";"";"0.0"
"LK Freising";"Bayern";"FS";"11009178";"";"0.0"
"LK Freyung-Grafenau";"Bayern";"WOS";"11009272";"";"0.0"
"LK Fürstenfeldbruck";"Bayern";"FFB";"11009179";"";"0.0"
"LK Fürth";"Bayern";"FÜ";"11009573";"";"0.0"
"LK Garmisch-Partenkirchen";"Bayern";"GAP";"11009180";"";"0.0"
"LK Günzburg";"Bayern";"GZ";"11009774";"";"0.0"
"LK Haßberge";"Bayern";"HAS";"11009674";"";"0.0"
"LK Hof";"Bayern";"HO";"11009475";"";"0.0"
"LK Kelheim";"Bayern";"KEH";"11009273";"";"0.0"
"LK Kitzingen";"Bayern";"KT";"11009675";"";"0.0"
"LK Kronach";"Bayern";"KC";"11009476";"";"0.0"
"LK Kulmbach";"Bayern";"KU";"11009477";"";"0.0"
"LK Landsberg a.Lech";"Bayern";"LL";"11009181";"";"0.0"
"LK Landshut";"Bayern";"LA";"11009274";"";"0.0"
"LK Lichtenfels";"Bayern";"LIF";"11009478";"";"0.0"
"LK Lindau";"Bayern";"LI";"11009776";"";"0.0"
"LK Main-Spessart";"Bayern";"MSP";"11009677";"";"0.0"
"LK Miesbach";"Bayern";"MB";"11009182";"";"0.0"
"LK Miltenberg";"Bayern";"MIL";"11009676";"";"0.0"
"LK Mühldorf a.Inn";"Bayern";"MÜ";"11009183";"";"0.0"
"LK München";"Bayern";"M";"11009184";"";"0.0"
"LK Neu-Ulm";"Bayern";"NU";"11009775";"";"0.0"
"LK Neuburg-Schrobenhausen";"Bayern";"ND";"11009185";"";"0.0"
"LK Neumarkt i.d.OPf.";"Bayern";"NM";"11009373";"";"0.0"
"LK Neustadt a.d.Aisch-Bad Windsheim";"Bayern";"NEA";"11009575";"";"0.0"
"LK Neustadt a.d.Waldnaab";"Bayern";"NEW";"11009374";"";"0.0"
"LK Nürnberger Land";"Bayern";"LAU";"11009574";"";"0.0"
"LK Oberallgäu";"Bayern";"SF";"11009780";"";"0.0"
"LK Ostallgäu";"Bayern";"OAL";"11009777";"";"0.0"
"LK Passau";"Bayern";"PA";"11009275";"";"0.0"
"LK Pfaffenhofen a.d.Ilm";"Bayern";"PAF";"11009186";"";"0.0"
"LK Regen";"Bayern";"REG";"11009276";"";"0.0"
"LK Regensburg";"Bayern";"R";"11009375";"";"0.0"
"LK Rhön-Grabfeld";"Bayern";"NES";"11009673";"";"0.0"
"LK Rosenheim";"Bayern";"RO";"11009187";"";"0.0"
"LK Roth";"Bayern";"RH";"11009576";"";"0.0"
"LK Rottal-Inn";"Bayern";"PAN";"11009277";"";"0.0"
"LK Schwandorf";"Bayern";"SAD";"11009376";"";"0.0"
"LK Schweinfurt";"Bayern";"SW";"11009678";"";"0.0"
"LK Starnberg";"Bayern";"STA";"11009188";"";"0.0"
"LK Straubing-Bogen";"Bayern";"SR";"11009278";"";"0.0"
"LK Tirschenreuth";"Bayern";"TIR";"11009377";"";"0.0"
"LK Traunstein";"Bayern";"TS";"11009189";"";"0.0"
"LK Unterallgäu";"Bayern";"MN";"11009778";"";"0.0"
"LK Weilheim-Schongau";"Bayern";"WM";"11009190";"";"0.0"
"LK Weißenburg-Gunzenhausen";"Bayern";"WUG";"11009577";"";"0.0"
"LK Wunsiedel i.Fichtelgebirge";"Bayern";"WUN";"11009479";"";"0.0"
"LK Würzburg";"Bayern";"WÜ";"11009679";"";"0.0"
"SK Amberg";"Bayern";"AM";"11009361";"";"0.0"
"SK Ansbach";"Bayern";"AN";"11009561";"";"0.0"
"SK Aschaffenburg";"Bayern";"AB";"11009661";"";"0.0"
"SK Augsburg";"Bayern";"A";"11009761";"";"0.0"
"SK Bamberg";"Bayern";"BA";"11009461";"";"0.0"
"SK Bayreuth";"Bayern";"BT";"11009462";"";"0.0"
"SK Coburg";"Bayern";"CO";"11009463";"";"0.0"
"SK Erlangen";"Bayern";"ER";"11009562";"";"0.0"
"SK Fürth";"Bayern";"FÜ";"11009563";"";"0.0"
"SK Hof";"Bayern";"HO";"11009464";"";"0.0"
"SK Ingolstadt";"Bayern";"IN";"11009161";"";"0.0"
"SK Kaufbeuren";"Bayern";"KF";"11009762";"";"0.0"
"SK Kempten";"Bayern";"KE";"11009763";"";"0.0"
"SK Landshut";"Bayern";"LA";"11009261";"";"0.0"
"SK Memmingen";"Bayern";"MM";"11009764";"";"0.0"
"SK München";"Bayern";"M";"11009162";"";"0.0"
"SK Nürnberg";"Bayern";"N";"11009564";"";"0.0"
"SK Passau";"Bayern";"PA";"11009262";"";"0.0"
"SK Regensburg";"Bayern";"R";"11009362";"";"0.0"
"SK Rosenheim";"Bayern";"RO";"11009163";"";"0.0"
"SK Schwabach";"Bayern";"SC";"11009565";"";"0.0"
"SK Schweinfurt";"Bayern";"SW";"11009662";"";"0.0"
"SK Straubing";"Bayern";"SR";"11009263";"";"0.0"
"SK Weiden i.d.OPf.";"Bayern";"WEN";"11009363";"";"0.0"
"SK Würzburg";"Bayern";"WÜ";"11009663";"";"0.0"
"SK Berlin Charlottenburg-Wilmersdorf";"Berlin";"B";"11011004";"";"0.0"
"SK Berlin Friedrichshain-Kreuzberg";"Berlin";"B";"11011002";"";"0.0"
"SK Berlin Lichtenberg";"Berlin";"B";"11011011";"";"0.0"
"SK Berlin Marzahn-Hellersdorf";"Berlin";"B";"11011010";"";"0.0"
"SK Berlin Mitte";"Berlin";"B";"11011001";"";"0.0"
"SK Berlin Neukölln";"Berlin";"B";"11011008";"";"0.0"
"SK Berlin Pankow";"Berlin";"B";"11011003";"";"0.0"
"SK Berlin Reinickendorf";"Berlin";"B";"11011012";"";"0.0"
"SK Berlin Spandau";"Berlin";"B";"11011005";"";"0.0"
"SK Berlin Steglitz-Zehlendorf";"Berlin";"B";"11011006";"";"0.0"
"SK Berlin Tempelhof-Schöneberg";"Berlin";"B";"11011007";"";"0.0"
"SK Berlin Treptow-Köpenick";"Berlin";"B";"11011009";"";"0.0"
"LK Barnim";"Brandenburg";"BAR";"11012060";"";"0.0"
"LK Dahme-Spreewald";"Brandenburg";"LDS";"11012061";"";"0.0"
"LK Elbe-Elster";"Brandenburg";"EE";"11012062";"";"0.0"
"LK Havelland";"Brandenburg";"HVL";"11012063";"";"0.0"
"LK Märkisch-Oderland";"Brandenburg";"MOL";"11012064";"";"0.0"
"LK Oberhavel";"Brandenburg";"OHV";"11012065";"";"0.0"
"LK Oberspreewald-Lausitz";"Brandenburg";"OSL";"11012066";"";"0.0"
"LK Oder-Spree";"Brandenburg";"LOS";"11012067";"";"0.0"
"LK Ostprignitz-Ruppin";"Brandenburg";"OPR";"11012068";"";"0.0"
"LK Potsdam-Mittelmark";"Brandenburg";"PM";"11012069";"";"0.0"
"LK Prignitz";"Brandenburg";"PR";"11012070";"";"0.0"
"LK Spree-Neiße";"Brandenburg";"SPN";"11012071";"";"0.0"
"LK Teltow-Fläming";"Brandenburg";"TF";"11012072";"";"0.0"
"LK Uckermark";"Brandenburg";"UM";"11012073";"";"0.0"
"SK Brandenburg a.d.Havel";"Brandenburg";"BRB";"11012051";"";"0.0"
"SK Cottbus";"Brandenburg";"CB";"11012052";"";"0.0"
"SK Frankfurt (Oder)";"Brandenburg";"FF";"11012053";"";"0.0"
"SK Potsdam";"Brandenburg";"P";"11012054";"";"0.0"
"SK Bremen";"Bremen";"HB";"11004011";"";"0.0"
"SK Bremerhaven";"Bremen";"HB";"11004012";"";"0.0"
"SK Hamburg";"Hamburg";"HH";"11002000";"";"0.0"
"LK Bergstraße";"Hessen";"HP";"11006431";"";"0.0"
"LK Darmstadt-Dieburg";"Hessen";"DI";"11006432";"";"0.0"
"LK Fulda";"Hessen";"FD";"11006631";"";"0.0"
"LK Gießen";"Hessen";"GI";"11006531";"";"0.0"
"LK Groß-Gerau";"Hessen";"GG";"11006433";"";"0.0"
"LK Hersfeld-Rotenburg";"Hessen";"HEF";"11006632";"";"0.0"
"LK Hochtaunuskreis";"Hessen";"HG";"11006434";"";"0.0"
"LK Kassel";"Hessen";"WOH";"11006633";"";"0.0"
"LK Lahn-Dill-Kreis";"Hessen";"LDK";"11006532";"";"0.0"
"LK Limburg-Weilburg";"Hessen";"LM";"11006533";"";"0.0"
"LK Main-Kinzig-Kreis";"Hessen";"HU";"11006435";"";"0.0"
"LK Main-Taunus-Kreis";"Hessen";"MTK";"11006436";"";"0.0"
"LK Marburg-Biedenkopf";"Hessen";"MR";"11006534";"";"0.0"
"LK Odenwaldkreis";"Hessen";"ERB";"11006437";"";"0.0"
"LK Offenbach";"Hessen";"OF";"11006438";"";"0.0"
"LK Rheingau-Taunus-Kreis";"Hessen";"SWA";"11006439";"";"0.0"
"LK Schwalm-Eder-Kreis";"Hessen";"HR";"11006634";"";"0.0"
"LK Vogelsbergkreis";"Hessen";"VB";"11006535";"";"0.0"
"LK Waldeck-Frankenberg";"Hessen";"WA";"11006635";"";"0.0"
"LK Werra-Meißner-Kreis";"Hessen";"ESW";"11006636";"";"0.0"
"LK Wetteraukreis";"Hessen";"FB";"11006440";"";"0.0"
"SK Darmstadt";"Hessen";"DA";"11006411";"";"0.0"
"SK Frankfurt am Main";"Hessen";"F";"11006412";"";"0.0"
"SK Kassel";"Hessen";"KS";"11006611";"";"0.0"
"SK Offenbach";"Hessen";"OF";"11006413";"";"0.0"
"SK Wiesbaden";"Hessen";"WI";"11006414";"";"0.0"
"LK Bad Doberan";"Mecklenburg-Vorpommern";"ROS";"11013051";"";"0.0"
"LK Demmin";"Mecklenburg-Vorpommern";"DM";"11013052";"";"0.0"
"LK Güstrow";"Mecklenburg-Vorpommern";"GÜ";"11013053";"";"0.0"
"LK Ludwigslust";"Mecklenburg-Vorpommern";"SN";"11013054";"";"0.0"
"LK Ludwigslust-Parchim";"Mecklenburg-Vorpommern";"LUP";"11013076";"";"0.0"
"LK Mecklenburg-Strelitz";"Mecklenburg-Vorpommern";"NB";"11013055";"";"0.0"
"LK Mecklenburgische Seenplatte";"Mecklenburg-Vorpommern";"MSE";"11013071";"";"0.0"
"LK Müritz";"Mecklenburg-Vorpommern";"RM";"11013056";"";"0.0"
"LK Nordvorpommern";"Mecklenburg-Vorpommern";"NVP";"11013057";"";"0.0"
"LK Nordwestmecklenburg";"Mecklenburg-Vorpommern";"NWM";"11013074";"";"0.0"
"LK Nordwestmecklenburg (alt)";"Mecklenburg-Vorpommern";"WIS";"11013058";"";"0.0"
"LK Ostvorpommern";"Mecklenburg-Vorpommern";"OVP";"11013059";"";"0.0"
"LK Parchim";"Mecklenburg-Vorpommern";"SN";"11013060";"";"0.0"
"LK Rostock";"Mecklenburg-Vorpommern";"LRO";"11013072";"";"0.0"
"LK Rügen";"Mecklenburg-Vorpommern";"RÜG";"11013061";"";"0.0"
"LK Uecker-Randow";"Mecklenburg-Vorpommern";"UER";"11013062";"";"0.0"
"LK Vorpommern-Greifswald";"Mecklenburg-Vorpommern";"VG";"11013075";"";"0.0"
"LK Vorpommern-Rügen";"Mecklenburg-Vorpommern";"VR";"11013073";"";"0.0"
"SK Greifswald";"Mecklenburg-Vorpommern";"HGW";"11013001";"";"0.0"
"SK Neubrandenburg";"Mecklenburg-Vorpommern";"NB";"11013002";"";"0.0"
"SK Rostock";"Mecklenburg-Vorpommern";"HRO";"11013003";"";"0.0"
"SK Schwerin";"Mecklenburg-Vorpommern";"SN";"11013004";"";"0.0"
"SK Stralsund";"Mecklenburg-Vorpommern";"HST";"11013005";"";"0.0"
"SK Wismar";"Mecklenburg-Vorpommern";"HWI";"11013006";"";"0.0"
"LK Ammerland";"Niedersachsen";"WST";"11003451";"";"0.0"
"LK Aurich";"Niedersachsen";"AUR";"11003452";"";"0.0"
"LK Celle";"Niedersachsen";"CE";"11003351";"";"0.0"
"LK Cloppenburg";"Niedersachsen";"CLP";"11003453";"";"0.0"
"LK Cuxhaven";"Niedersachsen";"WEM";"11003352";"";"0.0"
"LK Diepholz";"Niedersachsen";"DH";"11003251";"";"0.0"
"LK Emsland";"Niedersachsen";"MEP";"11003454";"";"0.0"
"LK Friesland";"Niedersachsen";"JEV";"11003455";"";"0.0"
"LK Gifhorn";"Niedersachsen";"GF";"11003151";"";"0.0"
"LK Goslar";"Niedersachsen";"GS";"11003153";"";"0.0"
"LK Grafschaft Bentheim";"Niedersachsen";"NOH";"11003456";"";"0.0"
"LK Göttingen";"Niedersachsen";"GÖ";"11003159";"";"0.0"
"LK Göttingen (alt)";"Niedersachsen";"GÖ";"11003152";"";"0.0"
"LK Hameln-Pyrmont";"Niedersachsen";"HM";"11003252";"";"0.0"
"LK Harburg";"Niedersachsen";"WL";"11003353";"";"0.0"
"LK Heidekreis";"Niedersachsen";"SOL";"11003358";"";"0.0"
"LK Helmstedt";"Niedersachsen";"HE";"11003154";"";"0.0"
"LK Hildesheim";"Niedersachsen";"HI";"11003254";"";"0.0"
"LK Holzminden";"Niedersachsen";"HOL";"11003255";"";"0.0"
"LK Leer";"Niedersachsen";"LER";"11003457";"";"0.0"
"LK Lüchow-Dannenberg";"Niedersachsen";"DAN";"11003354";"";"0.0"
"LK Lüneburg";"Niedersachsen";"LG";"11003355";"";"0.0"
"LK Nienburg (Weser)";"Niedersachsen";"NI";"11003256";"";"0.0"
"LK Northeim";"Niedersachsen";"NOM";"11003155";"";"0.0"
"LK Oldenburg";"Niedersachsen";"OL";"11003458";"";"0.0"
"LK Osnabrück";"Niedersachsen";"OS";"11003459";"";"0.0"
"LK Osterholz";"Niedersachsen";"OHZ";"11003356";"";"0.0"
"LK Osterode am Harz";"Niedersachsen";"OHA";"11003156";"";"0.0"
"LK Peine";"Niedersachsen";"PE";"11003157";"";"0.0"
"LK Rotenburg (Wümme)";"Niedersachsen";"ROW";"11003357";"";"0.0"
"LK Schaumburg";"Niedersachsen";"STH";"11003257";"";"0.0"
"LK Stade";"Niedersachsen";"STD";"11003359";"";"0.0"
"LK Uelzen";"Niedersachsen";"UE";"11003360";"";"0.0"
"LK Vechta";"Niedersachsen";"VEC";"11003460";"";"0.0"
"LK Verden";"Niedersachsen";"VER";"11003361";"";"0.0"
"LK Wesermarsch";"Niedersachsen";"BRA";"11003461";"";"0.0"
"LK Wittmund";"Niedersachsen";"WTM";"11003462";"";"0.0"
"LK Wolfenbüttel";"Niedersachsen";"WF";"11003158";"";"0.0"
"Region Hannover";"Niedersachsen";"H";"11003241";"";"0.0"
"SK Braunschweig";"Niedersachsen";"BS";"11003101";"";"0.0"
"SK Delmenhorst";"Niedersachsen";"DEL";"11003401";"";"0.0"
"SK Emden";"Niedersachsen";"EMD";"11003402";"";"0.0"
"SK Oldenburg";"Niedersachsen";"OL";"11003403";"";"0.0"
"SK Osnabrück";"Niedersachsen";"OS";"11003404";"";"0.0"
"SK Salzgitter";"Niedersachsen";"SZ";"11003102";"";"0.0"
"SK Wilhelmshaven";"Niedersachsen";"WHV";"11003405";"";"0.0"
"SK Wolfsburg";"Niedersachsen";"WOB";"11003103";"";"0.0"
"LK Aachen";"Nordrhein-Westfalen";"AC";"11005354";"";"0.0"
"LK Borken";"Nordrhein-Westfalen";"BOR";"11005554";"";"0.0"
"LK Coesfeld";"Nordrhein-Westfalen";"COE";"11005558";"";"0.0"
"LK Düren";"Nordrhein-Westfalen";"DN";"11005358";"";"0.0"
"LK Ennepe-Ruhr-Kreis";"Nordrhein-Westfalen";"EN";"11005954";"";"0.0"
"LK Euskirchen";"Nordrhein-Westfalen";"EU";"11005366";"";"0.0"
"LK Gütersloh";"Nordrhein-Westfalen";"GT";"11005754";"";"0.0"
"LK Heinsberg";"Nordrhein-Westfalen";"HS";"11005370";"";"0.0"
"LK Herford";"Nordrhein-Westfalen";"HF";"11005758";"";"0.0"
"LK Hochsauerlandkreis";"Nordrhein-Westfalen";"MES";"11005958";"";"0.0"
"LK Höxter";"Nordrhein-Westfalen";"HX";"11005762";"";"0.0"
"LK Kleve";"Nordrhein-Westfalen";"KLE";"11005154";"";"0.0"
"LK Lippe";"Nordrhein-Westfalen";"LIP";"11005766";"";"0.0"
"LK Mettmann";"Nordrhein-Westfalen";"ME";"11005158";"";"0.0"
"LK Minden-Lübbecke";"Nordrhein-Westfalen";"MI";"11005770";"";"0.0"
"LK Märkischer Kreis";"Nordrhein-Westfalen";"MK";"11005962";"";"0.0"
"LK Oberbergischer Kreis";"Nordrhein-Westfalen";"GM";"11005374";"";"0.0"
"LK Olpe";"Nordrhein-Westfalen";"OE";"11005966";"";"0.0"
"LK Paderborn";"Nordrhein-Westfalen";"PB";"11005774";"";"0.0"
"LK Recklinghausen";"Nordrhein-Westfalen";"RE";"11005562";"";"0.0"
"LK Rhein-Erft-Kreis";"Nordrhein-Westfalen";"BM";"11005362";"";"0.0"
"LK Rhein-Kreis Neuss";"Nordrhein-Westfalen";"NE";"11005162";"";"0.0"
"LK Rhein-Sieg-Kreis";"Nordrhein-Westfalen";"SU";"11005382";"";"0.0"
"LK Rheinisch-Bergischer Kreis";"Nordrhein-Westfalen";"GL";"11005378";"";"0.0"
"LK Siegen-Wittgenstein";"Nordrhein-Westfalen";"SI";"11005970";"";"0.0"
"LK Soest";"Nordrhein-Westfalen";"SO";"11005974";"";"0.0"
"LK Steinfurt";"Nordrhein-Westfalen";"ST";"11005566";"";"0.0"
"LK Unna";"Nordrhein-Westfalen";"UN";"11005978";"";"0.0"
"LK Viersen";"Nordrhein-Westfalen";"VIE";"11005166";"";"0.0"
"LK Warendorf";"Nordrhein-Westfalen";"WAF";"11005570";"";"0.0"
"LK Wesel";"Nordrhein-Westfalen";"WES";"11005170";"";"0.0"
"SK Aachen";"Nordrhein-Westfalen";"AC";"11005313";"";"0.0"
"SK Bielefeld";"Nordrhein-Westfalen";"BI";"11005711";"";"0.0"
"SK Bochum";"Nordrhein-Westfalen";"BO";"11005911";"";"0.0"
"SK Bonn";"Nordrhein-Westfalen";"BN";"11005314";"";"0.0"
"SK Bottrop";"Nordrhein-Westfalen";"BOT";"11005512";"";"0.0"
"SK Dortmund";"Nordrhein-Westfalen";"DO";"11005913";"";"0.0"
"SK Duisburg";"Nordrhein-Westfalen";"DU";"11005112";"";"0.0"
"SK Düsseldorf";"Nordrhein-Westfalen";"D";"11005111";"";"0.0"
"SK Essen";"Nordrhein-Westfalen";"E";"11005113";"";"0.0"
"SK Gelsenkirchen";"Nordrhein-Westfalen";"GE";"11005513";"";"0.0"
"SK Hagen";"Nordrhein-Westfalen";"HA";"11005914";"";"0.0"
"SK Hamm";"Nordrhein-Westfalen";"HAM";"11005915";"";"0.0"
"SK Herne";"Nordrhein-Westfalen";"HER";"11005916";"";"0.0"
"SK Krefeld";"Nordrhein-Westfalen";"KR";"11005114";"";"0.0"
"SK Köln";"Nordrhein-Westfalen";"K";"11005315";"";"0.0"
"SK Leverkusen";"Nordrhein-Westfalen";"LEV";"11005316";"";"0.0"
"SK Mönchengladbach";"Nordrhein-Westfalen";"MG";"11005116";"";"0.0"
"SK Mülheim a.d.Ruhr";"Nordrhein-Westfalen";"MH";"11005117";"";"0.0"
"SK Münster";"Nordrhein-Westfalen";"MS";"11005515";"";"0.0"
"SK Oberhausen";"Nordrhein-Westfalen";"OB";"11005119";"";"0.0"
"SK Remscheid";"Nordrhein-Westfalen";"RS";"11005120";"";"0.0"
"SK Solingen";"Nordrhein-Westfalen";"SG";"11005122";"";"0.0"
"SK Wuppertal";"Nordrhein-Westfalen";"W";"11005124";"";"0.0"
"StadtRegion Aachen";"Nordrhein-Westfalen";"AC";"11005334";"";"0.0"
"LK Ahrweiler";"Rheinland-Pfalz";"AW";"11007131";"";"0.0"
"LK Altenkirchen";"Rheinland-Pfalz";"AK";"11007132";"";"0.0"
"LK Alzey-Worms";"Rheinland-Pfalz";"AZ";"11007331";"";"0.0"
"LK Bad Dürkheim";"Rheinland-Pfalz";"DÜW";"11007332";"";"0.0"
"LK Bad Kreuznach";"Rheinland-Pfalz";"KH";"11007133";"";"0.0"
"LK Bernkastel-Wittlich";"Rheinland-Pfalz";"WIL";"11007231";"";"0.0"
"LK Birkenfeld";"Rheinland-Pfalz";"BIR";"11007134";"";"0.0"
"LK Bitburg-Prüm";"Rheinland-Pfalz";"BIT";"11007232";"";"0.0"
"LK Cochem-Zell";"Rheinland-Pfalz";"COC";"11007135";"";"0.0"
"LK Donnersbergkreis";"Rheinland-Pfalz";"KIB";"11007333";"";"0.0"
"LK Germersheim";"Rheinland-Pfalz";"GER";"11007334";"";"0.0"
"LK Kaiserslautern";"Rheinland-Pfalz";"KL";"11007335";"";"0.0"
"LK Kusel";"Rheinland-Pfalz";"KUS";"11007336";"";"0.0"
"LK Mainz-Bingen";"Rheinland-Pfalz";"MZ";"11007339";"";"0.0"
"LK Mayen-Koblenz";"Rheinland-Pfalz";"MYK";"11007137";"";"0.0"
"LK Neuwied";"Rheinland-Pfalz";"NR";"11007138";"";"0.0"
"LK Rhein-Hunsrück-Kreis";"Rheinland-Pfalz";"SIM";"11007140";"";"0.0"
"LK Rhein-Lahn-Kreis";"Rheinland-Pfalz";"EMS";"11007141";"";"0.0"
"LK Rhein-Pfalz-Kreis";"Rheinland-Pfalz";"LU";"11007338";"";"0.0"
"LK Südliche Weinstraße";"Rheinland-Pfalz";"SÜW";"11007337";"";"0.0"
"LK Südwestpfalz";"Rheinland-Pfalz";"PS";"11007340";"";"0.0"
"LK Trier-Saarburg";"Rheinland-Pfalz";"TR";"11007235";"";"0.0"
"LK Vulkaneifel";"Rheinland-Pfalz";"DAU";"11007233";"";"0.0"
"LK Westerwaldkreis";"Rheinland-Pfalz";"WW";"11007143";"";"0.0"
"SK Frankenthal";"Rheinland-Pfalz";"FT";"11007311";"";"0.0"
"SK Kaiserslautern";"Rheinland-Pfalz";"KL";"11007312";"";"0.0"
"SK Koblenz";"Rheinland-Pfalz";"KO";"11007111";"";"0.0"
"SK Landau i.d.Pfalz";"Rheinland-Pfalz";"LD";"11007313";"";"0.0"
"SK Ludwigshafen";"Rheinland-Pfalz";"LU";"11007314";"";"0.0"
"SK Mainz";"Rheinland-Pfalz";"MZ";"11007315";"";"0.0"
"SK Neustadt a.d.Weinstraße";"Rheinland-Pfalz";"NW";"11007316";"";"0.0"
"SK Pirmasens";"Rheinland-Pfalz";"PS";"11007317";"";"0.0"
"SK Speyer";"Rheinland-Pfalz";"SP";"11007318";"";"0.0"
"SK Trier";"Rheinland-Pfalz";"TR";"11007211";"";"0.0"
"SK Worms";"Rheinland-Pfalz";"WO";"11007319";"";"0.0"
"SK Zweibrücken";"Rheinland-Pfalz";"ZW";"11007320";"";"0.0"
